/home/jessica/GitHub/data_templates/01082020/20200108_2123.json
Profile from  2020-01-08 21:24:20.381116 to 2020-01-08 21:32:06.650325 added
1 profile(s) including those added from file /home/jessica/GitHub/data_templates/01082020/00000108.BIN
Temperature sensor 1 removed
/home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/metpy/xarray.py:655: MetpyDeprecationWarning: The dewpoint_rh function was deprecated in version 0.12. This function has been renamed dewpoint_from_relative_humidity.
  return func(*args, **kwargs)
         37220892 function calls (37138684 primitive calls) in 678.433 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
24595/24562    2.210    0.000    4.053    0.000 {built-in method numpy.array}
   153590    2.077    0.000    2.920    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/_collections_abc.py:742(__iter__)
   121763    1.972    0.000   64.337    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:899(__mul__)
   211801    1.963    0.000    2.077    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:614(_check)
   158824    1.916    0.000    1.917    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1650(_ok_for_muldiv)
   142971    1.881    0.000    2.581    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/_collections_abc.py:676(items)
   243526    1.871    0.000   17.354    0.000 {built-in method _operator.mul}
    37051    1.864    0.000    5.825    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:605(_get_root_units)
    16133    1.721    0.000   10.852    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/lib/nanfunctions.py:863(nanmean)
    89935    1.678    0.000   46.267    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:750(__add__)
    74132    1.603    0.000    4.619    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:482(__eq__)
   328755    1.558    0.000    1.558    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:276(message_arrived)
